loan_number,cust_number,loan_category,loan_condition,principal_amount,loan_rate,duration_months,installment_amount,commencement_date,initial_credit_score,collateral_value,purpose_of_loan
9220,9251199,Mortgage,Paid,690827.82,0.0599,180,5825.87,2022-07-31,662,828993.38,Education
2810,4567281,Auto,Paid,16682.91,0.0767,72,289.82,2022-03-01,619,20019.49,Education
4292,9400423,Personal,Defaulted,18903.86,0.0892,36,600.43,2020-02-27,769,22684.63,Home Purchase
2129,6805175,Personal,Paid,48064.89,0.1412,24,2310.46,2019-12-18,821,57677.87,Education
1336,7495993,Auto,Defaulted,21715.39,0.0458,60,405.63,2019-12-28,781,26058.47,Business Expansion
7914,5149410,Mortgage,Defaulted,496226.42,0.0416,360,2415.06,2022-09-08,760,595471.7,Education
5997,4334553,Auto,Defaulted,25167.29,0.0683,36,775.14,2019-12-08,664,30200.75,Home Purchase
4384,7110796,Mortgage,Active,658431.99,0.0325,180,4626.6,2020-01-18,709,790118.39,Education
4450,4482004,Auto,Active,29142.54,0.0474,48,667.71,2022-08-26,785,34971.05,Business Expansion
2943,6924737,Auto,Active,41409.08,0.0408,36,1224.04,2021-08-04,749,49690.9,Education
1673,4384001,Auto,Defaulted,57242.33,0.0753,48,1384.86,2023-09-15,679,68690.8,Debt Consolidation
6769,7470330,Personal,Paid,14020.72,0.1228,48,371.15,2021-10-08,719,16824.86,Business Expansion
5418,4328667,Personal,Active,34688.27,0.1245,60,779.53,2020-08-07,727,41625.92,Home Purchase
2459,3522694,Mortgage,Active,819933.02,0.033,360,3590.94,2022-03-31,709,983919.62,Home Purchase
1506,4299424,Personal,Active,39289.19,0.0856,12,3427.89,2022-07-27,641,47147.03,Debt Consolidation
8289,1333296,Personal,Paid,6436.89,0.1097,48,166.27,2023-02-12,767,7724.27,Education
2082,2804298,Mortgage,Active,778046.31,0.0428,360,3841.2,2020-04-28,706,933655.57,Home Purchase
2460,9381452,Mortgage,Defaulted,217295.62,0.0486,360,1147.97,2023-01-06,736,260754.74,Debt Consolidation
5329,5916747,Mortgage,Defaulted,411301.71,0.0327,180,2894.09,2022-07-09,731,493562.05,Business Expansion
9915,8648616,Auto,Paid,59067.13,0.0639,48,1397.78,2024-06-29,728,70880.56,Home Purchase
9165,9945709,Auto,Paid,19791.75,0.0534,36,596.2,2022-06-20,842,23750.1,Debt Consolidation
4615,9803553,Mortgage,Active,871389.2,0.044,180,6621.62,2023-09-26,822,1045667.04,Education
8177,5777999,Auto,Paid,29649.06,0.0407,72,464.81,2023-09-07,797,35578.87,Auto Purchase
6923,1598169,Auto,Defaulted,60712.91,0.0616,36,1851.41,2022-05-28,634,72855.49,Home Purchase
9152,6537260,Auto,Paid,66947.8,0.0652,36,2052.49,2023-02-05,717,80337.36,Auto Purchase
1334,7583744,Mortgage,Active,607093.96,0.0435,360,3022.19,2022-10-20,699,728512.75,Business Expansion
2144,1048760,Auto,Active,62099.27,0.0633,72,1038.87,2024-09-04,625,74519.12,Education
7062,7972091,Personal,Active,4009.62,0.0845,24,182.17,2020-02-13,844,4811.54,Education
6459,7301661,Mortgage,Active,116204.75,0.0589,180,973.71,2022-05-10,843,139445.7,Auto Purchase
2658,4178437,Mortgage,Paid,339469.92,0.0571,180,2811.73,2021-01-10,635,407363.9,Home Purchase
7486,7651065,Auto,Defaulted,51833.14,0.0465,48,1185.48,2024-01-09,636,62199.77,Business Expansion
7236,7070025,Personal,Paid,22959.93,0.0909,12,2008.84,2024-09-04,762,27551.92,Home Purchase
9779,3595683,Personal,Active,4726.67,0.1071,24,219.66,2022-12-13,820,5672.0,Business Expansion
5730,5991823,Mortgage,Active,901618.34,0.039,360,4252.65,2022-05-26,681,1081942.01,Education
4106,6415300,Auto,Active,25813.17,0.0515,60,488.9,2022-07-03,773,30975.8,Education
4246,8058536,Auto,Paid,39014.96,0.0791,60,789.4,2020-02-09,728,46817.95,Debt Consolidation
5159,2502556,Personal,Active,28421.88,0.1281,36,955.05,2020-08-09,628,34106.26,Business Expansion
8183,6571308,Personal,Paid,3976.72,0.0986,12,349.36,2020-06-07,783,4772.06,Business Expansion
8441,1041491,Personal,Defaulted,4648.79,0.0828,48,114.1,2020-11-11,709,5578.55,Auto Purchase
7277,6729194,Auto,Active,42868.5,0.0651,48,1016.82,2021-04-15,671,51442.2,Home Purchase
8346,3111034,Auto,Defaulted,17692.83,0.0644,72,296.91,2020-03-24,764,21231.4,Auto Purchase
8018,5706307,Personal,Paid,22693.81,0.1222,60,507.34,2022-10-16,775,27232.57,Home Purchase
5608,2847560,Mortgage,Defaulted,517770.27,0.0539,360,2904.21,2021-02-07,614,621324.32,Auto Purchase
6877,6915338,Mortgage,Defaulted,285238.41,0.0575,360,1664.57,2023-04-22,656,342286.09,Business Expansion
5692,6385117,Mortgage,Active,314988.52,0.0508,180,2504.06,2021-06-21,837,377986.22,Business Expansion
8352,3912828,Personal,Defaulted,21074.88,0.1238,60,472.86,2020-06-28,846,25289.86,Auto Purchase
5407,9847791,Personal,Active,3607.35,0.1425,24,173.63,2023-11-15,700,4328.82,Debt Consolidation
4331,5379562,Mortgage,Paid,386560.41,0.0455,360,1970.15,2021-01-08,783,463872.49,Auto Purchase
5515,9181850,Mortgage,Defaulted,740646.35,0.037,180,5367.79,2023-09-04,781,888775.62,Debt Consolidation
4005,3729631,Personal,Paid,36649.21,0.1285,48,980.48,2022-05-30,758,43979.05,Debt Consolidation
3689,7198322,Mortgage,Defaulted,304402.86,0.045,360,1542.36,2024-02-16,622,365283.43,Debt Consolidation
3003,2233780,Personal,Paid,30638.91,0.0969,36,984.18,2021-03-26,670,36766.69,Education
1461,8855272,Mortgage,Defaulted,596361.05,0.0557,180,4894.95,2022-05-07,749,715633.26,Business Expansion
3697,2943280,Personal,Paid,41838.79,0.1195,12,3716.35,2021-10-11,731,50206.55,Business Expansion
5913,5492335,Mortgage,Defaulted,759653.12,0.0422,360,3723.71,2024-08-31,703,911583.74,Debt Consolidation
5214,6954696,Auto,Paid,52261.7,0.0636,60,1019.14,2024-06-03,603,62714.04,Auto Purchase
5730,7423351,Personal,Active,42344.98,0.0904,36,1347.35,2021-01-27,751,50813.98,Home Purchase
9782,7419390,Personal,Defaulted,43395.77,0.1407,12,3897.81,2024-03-08,724,52074.92,Business Expansion
3447,6709023,Personal,Paid,39925.64,0.0931,60,834.81,2020-01-30,777,47910.77,Auto Purchase
3583,7496259,Mortgage,Paid,408698.69,0.0531,360,2272.06,2022-05-19,638,490438.43,Debt Consolidation
9617,9850314,Personal,Active,11633.86,0.1202,24,547.75,2020-06-14,653,13960.63,Education
5212,5490547,Personal,Paid,34776.73,0.143,24,1674.66,2020-08-09,698,41732.08,Business Expansion
8158,8929428,Auto,Defaulted,27305.8,0.0437,48,621.07,2022-05-15,657,32766.96,Business Expansion
3616,5277014,Mortgage,Paid,472948.62,0.0518,360,2591.17,2021-11-30,749,567538.34,Debt Consolidation
6835,3158544,Mortgage,Active,905402.06,0.0523,180,7268.81,2023-06-06,618,1086482.47,Auto Purchase
5819,1928225,Auto,Active,68768.41,0.075,60,1377.98,2024-01-07,715,82522.09,Education
2928,6822458,Personal,Paid,41352.36,0.0943,24,1897.34,2023-08-22,618,49622.83,Education
7533,5765407,Personal,Active,16871.93,0.1179,60,373.52,2021-11-11,693,20246.32,Education
6500,4704168,Personal,Paid,8997.36,0.1131,24,420.64,2020-08-22,810,10796.83,Home Purchase
7778,9284676,Mortgage,Active,729013.06,0.0493,180,5738.44,2020-11-17,845,874815.67,Home Purchase
2056,2534083,Auto,Defaulted,61644.32,0.0763,36,1921.2,2020-09-03,667,73973.18,Home Purchase
7084,8284726,Personal,Paid,1940.66,0.0922,36,61.91,2022-11-26,731,2328.79,Education
9575,5644200,Personal,Defaulted,45809.97,0.0952,48,1151.33,2023-10-09,700,54971.96,Education
8576,2451571,Mortgage,Defaulted,554118.64,0.0443,180,4219.17,2022-11-19,661,664942.37,Home Purchase
7242,8434233,Auto,Active,28561.07,0.045,36,849.6,2020-10-06,646,34273.28,Education
3052,5819919,Personal,Active,43804.87,0.1422,48,1201.87,2024-02-08,777,52565.84,Education
4400,3177154,Mortgage,Paid,628953.08,0.0412,180,4690.2,2022-08-20,730,754743.7,Education
4761,6469398,Mortgage,Paid,566775.68,0.0304,180,3924.96,2020-12-16,781,680130.82,Business Expansion
1027,7908645,Auto,Defaulted,59576.39,0.0709,60,1182.22,2020-06-01,675,71491.67,Auto Purchase
4141,1762520,Personal,Active,29593.44,0.105,24,1372.43,2023-05-28,642,35512.13,Business Expansion
9721,6915527,Auto,Active,74441.23,0.0686,48,1777.76,2024-09-16,671,89329.48,Debt Consolidation
7242,6659360,Mortgage,Defaulted,308057.77,0.0346,360,1376.45,2023-12-04,825,369669.32,Business Expansion
6748,1588066,Auto,Defaulted,60828.11,0.0522,36,1829.09,2023-11-08,833,72993.73,Home Purchase
8734,7135603,Auto,Paid,45554.04,0.066,60,893.45,2023-11-10,820,54664.85,Education
8160,3994385,Mortgage,Active,164787.33,0.0505,180,1307.42,2022-02-26,655,197744.8,Education
4615,1861620,Auto,Defaulted,54669.55,0.0523,36,1644.15,2024-08-29,618,65603.46,Business Expansion
6437,4722386,Auto,Defaulted,54845.14,0.058,36,1663.53,2024-05-13,836,65814.17,Debt Consolidation
9626,1638201,Mortgage,Paid,871958.84,0.0565,180,7194.23,2021-10-20,662,1046350.61,Home Purchase
6315,2085907,Auto,Defaulted,38878.59,0.0743,60,777.75,2021-09-28,630,46654.31,Home Purchase
1115,1639900,Personal,Active,4038.23,0.0967,36,129.68,2021-02-07,613,4845.88,Education
4040,3554532,Auto,Defaulted,31185.91,0.0484,36,932.43,2021-05-01,779,37423.09,Education
2848,7867650,Personal,Active,11268.8,0.1201,36,374.34,2020-01-26,629,13522.56,Education
3953,4029233,Personal,Defaulted,23925.64,0.0965,12,2099.55,2020-02-01,844,28710.77,Home Purchase
6287,3293737,Personal,Paid,32053.94,0.1115,36,1051.68,2024-01-24,794,38464.73,Education
9834,6496264,Personal,Paid,45804.22,0.1141,36,1508.48,2020-08-07,778,54965.06,Home Purchase
8592,5246490,Personal,Defaulted,18100.9,0.1313,24,861.66,2020-08-18,813,21721.08,Education
9067,5090590,Personal,Active,1569.55,0.0857,48,38.74,2023-07-08,691,1883.46,Debt Consolidation
9480,4553788,Mortgage,Paid,295840.91,0.0328,360,1292.39,2024-11-02,639,355009.09,Auto Purchase
9539,4547188,Auto,Defaulted,17044.22,0.0679,60,335.81,2022-01-09,769,20453.06,Business Expansion
8812,9360456,Personal,Active,31515.14,0.0918,60,656.96,2022-08-06,632,37818.17,Business Expansion
8915,9522865,Personal,Paid,2250.36,0.1227,24,106.22,2024-11-05,804,2700.43,Debt Consolidation
8271,9896497,Auto,Paid,22979.35,0.075,72,397.32,2023-10-31,836,27575.22,Debt Consolidation
7953,9415023,Auto,Defaulted,52611.13,0.0575,48,1229.55,2020-05-12,827,63133.36,Business Expansion
4283,5458619,Mortgage,Defaulted,370681.21,0.0362,360,1689.45,2020-08-02,722,444817.45,Auto Purchase
8131,8576760,Auto,Active,58747.16,0.0479,72,940.41,2022-01-24,849,70496.59,Home Purchase
3554,1481514,Personal,Paid,29380.59,0.1167,12,2605.9,2019-12-09,750,35256.71,Business Expansion
9193,4016177,Personal,Paid,38025.51,0.0945,24,1745.05,2022-07-15,715,45630.61,Business Expansion
1033,3739924,Auto,Defaulted,20217.09,0.0554,48,470.55,2020-02-11,768,24260.51,Business Expansion
2197,5052654,Mortgage,Active,552958.42,0.0546,180,4506.4,2019-11-19,778,663550.1,Business Expansion
1596,3970575,Personal,Paid,21031.04,0.0904,60,436.98,2022-04-01,628,25237.25,Home Purchase
6807,3853821,Auto,Active,72793.41,0.0634,72,1218.11,2021-07-15,657,87352.09,Business Expansion
9243,3966028,Personal,Defaulted,9467.47,0.1397,36,323.44,2020-03-22,734,11360.96,Auto Purchase
4991,6189696,Personal,Paid,46998.8,0.1256,24,2224.71,2021-08-03,732,56398.56,Home Purchase
8288,4975243,Personal,Paid,20612.66,0.1107,48,533.45,2022-11-05,625,24735.19,Business Expansion
9796,8824063,Mortgage,Defaulted,977339.39,0.054,180,7933.91,2022-11-24,722,1172807.27,Auto Purchase
7906,6237492,Personal,Active,48849.72,0.0956,36,1566.17,2021-01-03,713,58619.66,Education
5644,7365099,Auto,Active,16802.86,0.0573,48,392.54,2021-08-27,676,20163.43,Auto Purchase
9770,4784137,Auto,Active,71895.72,0.0428,36,2131.61,2022-04-09,689,86274.86,Debt Consolidation
2779,3372220,Auto,Active,40413.82,0.0547,48,939.33,2023-08-17,809,48496.58,Home Purchase
6144,6171621,Personal,Active,34453.82,0.1189,48,905.44,2020-02-04,776,41344.58,Auto Purchase
1913,1376731,Auto,Active,63632.02,0.069,48,1520.8,2021-02-27,645,76358.42,Auto Purchase
4701,4824955,Personal,Defaulted,49524.26,0.0806,60,1005.6,2020-04-11,614,59429.11,Auto Purchase
3154,6546395,Mortgage,Defaulted,125336.85,0.0478,360,656.08,2024-07-16,833,150404.22,Debt Consolidation
1758,6082126,Mortgage,Defaulted,775101.92,0.04,360,3700.46,2022-12-18,814,930122.3,Home Purchase
5680,3460247,Auto,Paid,16519.22,0.0508,36,495.69,2024-08-06,690,19823.06,Business Expansion
4565,2803085,Personal,Defaulted,29562.12,0.102,48,752.61,2020-11-11,639,35474.54,Education
4820,4491624,Mortgage,Active,565677.17,0.0597,180,4764.34,2020-11-30,687,678812.6,Business Expansion
7311,5983486,Auto,Defaulted,56063.17,0.0742,48,1353.45,2022-04-19,823,67275.8,Business Expansion
9086,8987630,Personal,Defaulted,16196.91,0.1485,60,384.05,2022-12-10,656,19436.29,Auto Purchase
7462,1586073,Auto,Paid,35437.79,0.0501,72,570.89,2020-06-26,830,42525.35,Auto Purchase
4872,9880148,Mortgage,Paid,995926.09,0.0574,360,5805.63,2022-05-28,646,1195111.31,Debt Consolidation
3425,1990212,Auto,Paid,53377.79,0.0692,60,1054.93,2024-08-06,658,64053.35,Business Expansion
3308,7185410,Personal,Paid,16996.01,0.1019,24,785.77,2023-07-04,736,20395.21,Business Expansion
5929,6160334,Auto,Defaulted,36516.01,0.054,48,847.57,2024-05-27,697,43819.21,Auto Purchase
1186,9959229,Auto,Active,28282.16,0.0757,60,567.66,2023-09-06,623,33938.59,Home Purchase
6557,2514923,Mortgage,Defaulted,115871.75,0.0483,180,906.08,2023-04-19,631,139046.1,Home Purchase
6880,3884381,Personal,Active,46111.61,0.093,48,1154.07,2020-08-11,739,55333.93,Home Purchase
3258,7984588,Auto,Defaulted,53332.49,0.0771,72,927.56,2021-10-05,801,63998.99,Home Purchase
5470,8893152,Auto,Defaulted,64718.19,0.0627,72,1080.84,2022-02-09,653,77661.83,Home Purchase
7444,9516113,Auto,Active,48380.75,0.0604,48,1137.11,2023-08-10,690,58056.9,Education
1166,1332715,Mortgage,Defaulted,429860.9,0.045,180,3288.41,2024-01-08,771,515833.08,Debt Consolidation
1495,1283383,Auto,Active,40742.29,0.0455,36,1212.87,2021-05-07,605,48890.75,Debt Consolidation
4513,6596408,Auto,Defaulted,43389.01,0.0775,48,1054.17,2021-04-18,629,52066.81,Debt Consolidation
8442,5059047,Personal,Defaulted,28323.01,0.0901,36,900.8,2024-04-22,671,33987.61,Debt Consolidation
4576,5121499,Mortgage,Paid,967439.34,0.031,180,6727.59,2023-11-24,794,1160927.21,Home Purchase
5239,6794620,Auto,Defaulted,65075.6,0.0666,60,1278.16,2023-08-31,845,78090.72,Auto Purchase
8596,3354675,Personal,Paid,19975.47,0.1449,12,1798.15,2024-03-04,733,23970.56,Debt Consolidation
1599,5296553,Auto,Defaulted,72007.58,0.0454,48,1643.32,2024-09-08,614,86409.1,Home Purchase
6320,1854928,Mortgage,Paid,889062.51,0.0444,180,6774.04,2023-01-26,740,1066875.01,Education
9193,8777564,Auto,Active,68625.84,0.0553,48,1596.93,2023-03-12,717,82351.01,Education
3221,7864399,Mortgage,Defaulted,324936.22,0.0449,180,2484.08,2023-05-11,747,389923.46,Home Purchase
5230,5188544,Personal,Defaulted,45321.32,0.1306,60,1032.59,2022-04-27,755,54385.58,Home Purchase
7603,5783664,Auto,Defaulted,55431.24,0.0418,36,1640.99,2020-09-21,617,66517.49,Business Expansion
9470,2883407,Personal,Active,24469.56,0.1377,48,665.85,2021-07-21,774,29363.47,Auto Purchase
5842,1505623,Mortgage,Defaulted,638252.69,0.045,360,3233.93,2020-01-10,807,765903.23,Auto Purchase
9379,5673861,Personal,Active,5592.98,0.0865,24,254.62,2022-07-04,730,6711.58,Home Purchase
1122,5429343,Personal,Paid,12788.13,0.1346,60,293.99,2022-09-05,686,15345.76,Education
8073,7101260,Personal,Defaulted,28763.02,0.102,36,930.8,2022-01-23,611,34515.62,Debt Consolidation
6896,3800894,Mortgage,Active,934956.22,0.0512,180,7452.15,2020-02-19,776,1121947.46,Business Expansion
8984,4787304,Auto,Paid,48881.34,0.0692,72,831.5,2021-05-04,844,58657.61,Auto Purchase
3197,2935058,Auto,Paid,27778.54,0.0405,72,435.23,2024-03-19,807,33334.25,Business Expansion
2389,1167114,Mortgage,Defaulted,308683.48,0.0544,180,2512.38,2020-11-12,624,370420.18,Business Expansion
7248,9014761,Personal,Paid,42241.76,0.1148,60,928.58,2020-10-09,739,50690.11,Auto Purchase
1459,4187195,Personal,Defaulted,38551.11,0.1001,36,1244.12,2023-05-08,666,46261.33,Business Expansion
1814,5616507,Auto,Defaulted,61216.9,0.0443,48,1394.03,2020-05-06,690,73460.28,Business Expansion
2388,4082712,Auto,Paid,40840.98,0.0587,48,956.72,2024-03-06,735,49009.18,Business Expansion
3600,2173965,Auto,Paid,37088.66,0.0666,48,882.3,2024-02-23,655,44506.39,Education
5749,3851881,Mortgage,Paid,531917.49,0.0593,180,4468.53,2022-10-05,603,638300.99,Debt Consolidation
6237,7860195,Personal,Active,23458.42,0.1434,12,2110.02,2023-09-22,816,28150.1,Debt Consolidation
3281,8659466,Mortgage,Active,396480.1,0.0324,180,2784.02,2021-05-15,724,475776.12,Education
1370,4186247,Mortgage,Active,209812.26,0.0497,360,1122.47,2023-09-21,635,251774.71,Education
4204,9278748,Personal,Defaulted,2532.39,0.1301,24,120.41,2020-10-27,719,3038.87,Education
2208,2745080,Personal,Paid,22526.72,0.1142,12,1995.36,2024-05-18,821,27032.06,Home Purchase
4315,4868506,Auto,Paid,42342.97,0.0782,36,1323.36,2024-06-23,791,50811.56,Debt Consolidation
4603,2030693,Personal,Paid,30970.77,0.1242,48,821.98,2022-05-16,684,37164.92,Home Purchase
2934,9354870,Personal,Paid,30118.75,0.1077,60,651.41,2024-05-03,680,36142.5,Business Expansion
8695,4762204,Auto,Active,46677.75,0.0435,60,867.03,2023-02-11,724,56013.3,Business Expansion
4213,3633173,Mortgage,Defaulted,167695.62,0.0353,180,1201.3,2021-09-18,800,201234.74,Education
3785,8101641,Personal,Active,30984.0,0.1121,12,2741.45,2024-01-03,685,37180.8,Education
4878,6424930,Auto,Defaulted,26713.23,0.0644,60,521.92,2019-11-27,724,32055.88,Business Expansion
8745,1432830,Auto,Paid,42824.37,0.0777,48,1040.85,2023-01-31,838,51389.24,Business Expansion
7737,8717347,Auto,Paid,33637.41,0.051,72,543.29,2020-06-28,772,40364.89,Education
3899,5742326,Mortgage,Active,212786.96,0.0526,360,1176.34,2022-12-30,690,255344.35,Debt Consolidation
4816,1452512,Personal,Paid,14251.99,0.1353,36,483.85,2022-07-04,716,17102.39,Business Expansion
2199,5244844,Auto,Defaulted,31497.14,0.0787,60,636.69,2023-06-21,642,37796.57,Education
5567,7924429,Personal,Active,38288.0,0.0887,36,1215.23,2021-09-09,841,45945.6,Education
5515,7649784,Personal,Paid,5514.93,0.0981,36,177.46,2020-09-23,771,6617.92,Home Purchase
7765,6238913,Auto,Active,25039.82,0.0582,48,586.0,2023-03-25,741,30047.78,Home Purchase
9785,7843120,Personal,Defaulted,32938.23,0.1269,24,1561.15,2024-04-26,659,39525.88,Home Purchase
3440,3735660,Auto,Active,42173.9,0.0634,72,705.73,2021-03-13,601,50608.68,Debt Consolidation
3137,3829594,Auto,Active,67683.69,0.0471,48,1549.83,2022-12-02,673,81220.43,Home Purchase
6520,3518742,Mortgage,Defaulted,237558.01,0.0328,360,1037.78,2020-07-29,727,285069.61,Education
5463,3723046,Personal,Paid,38890.36,0.1467,24,1879.57,2024-10-26,645,46668.43,Auto Purchase
2663,3336203,Auto,Defaulted,60247.67,0.0577,36,1826.58,2019-12-07,718,72297.2,Home Purchase
9217,8332591,Auto,Active,59300.13,0.0593,60,1144.51,2024-09-11,693,71160.16,Education
8824,1481169,Mortgage,Defaulted,987677.03,0.0343,360,4396.61,2020-05-23,697,1185212.44,Debt Consolidation
2940,4882805,Mortgage,Paid,537363.0,0.0349,180,3838.88,2024-10-20,776,644835.6,Debt Consolidation
1081,5407317,Personal,Paid,2772.98,0.0991,24,127.84,2023-04-06,808,3327.58,Business Expansion
6539,2875303,Mortgage,Active,156843.66,0.0394,360,743.38,2022-07-02,773,188212.39,Auto Purchase
2600,1221022,Auto,Active,32642.29,0.0504,72,526.31,2020-04-18,767,39170.75,Debt Consolidation
6369,3219824,Auto,Paid,59081.11,0.0417,60,1092.61,2022-09-13,786,70897.33,Debt Consolidation
5125,9948353,Auto,Defaulted,32594.44,0.0511,48,752.25,2019-11-20,820,39113.33,Auto Purchase
9301,1336852,Auto,Active,31746.6,0.0429,48,720.94,2023-01-18,796,38095.92,Debt Consolidation
9315,2809986,Auto,Paid,40912.97,0.0747,36,1272.08,2021-06-16,608,49095.56,Debt Consolidation
2639,2974207,Auto,Paid,63774.17,0.067,60,1253.8,2023-12-15,649,76529.0,Home Purchase
4452,4180077,Personal,Paid,18887.81,0.1414,24,908.11,2023-01-18,678,22665.37,Education
6978,3518429,Personal,Active,37817.38,0.1069,36,1232.55,2022-12-01,776,45380.86,Home Purchase
4271,6400615,Auto,Defaulted,20250.76,0.0554,36,611.86,2021-04-08,716,24300.91,Auto Purchase
3564,8577003,Personal,Paid,39476.99,0.145,24,1904.74,2022-07-02,649,47372.39,Business Expansion
1078,7818750,Mortgage,Defaulted,349595.41,0.0437,180,2651.21,2024-02-14,837,419514.49,Business Expansion
